District,Party,Votes
Vestfold,SV - Sosialistisk Venstreparti,8670
Vestfold,Venstre,5771
Oestfold,Alliansen - Alternativ for Norge,172
Oestfold,Arbeiderpartiet,49345
Oestfold,Feministisk Initiativ,0
Oestfold,Folkeaksjonen Nei til mer bompenger,285
Oestfold,Fremskrittspartiet,20527
Oestfold,Generasjonspartiet,0
Oestfold,Hoeyre,30211
Oestfold,Helsepartiet,393
Oestfold,Industri- og Naeringspartiet,263
Oestfold,Konservativt,688
Oestfold,Kristelig Folkeparti,5414
Oestfold,Kystpartiet,0
Oestfold,Liberalistene,263
Oestfold,Miljoepartiet De Groenne,4782
Oestfold,Norges Kommunistiske Parti,0
Oestfold,Norgesdemokratene,2348
Oestfold,Partiet Sentrum,336
Oestfold,Pasientfokus,0
Oestfold,Pensjonistpartiet,1869
Oestfold,Piratpartiet,172
Oestfold,Roedt,7418
Oestfold,Redd Naturen,0
Oestfold,Senterpartiet,22849
Oestfold,SV - Sosialistisk Venstreparti,9840
Oestfold,Venstre,4771
